Year,GDP (Billion USD),Government Revenue (Billion USD),Government Spending (Billion USD),Budget Balance (Billion USD),Public Debt (% of GDP),Inflation Rate (%),Unemployment Rate (%),Policy Type,Revenue to GDP (%),Spending to GDP (%),Real Government Revenue (2023 USD),Real Government Spending (2023 USD),Fiscal Policy Shift,Estimated Tax Revenue (Billion USD)
1970,1882.03,338.23,411.87,-73.64,30.08,4.9,5.97,Neutral,17.97155199438904,21.88434828350239,338.23,411.87,Neutral,304.40700000000004
1971,1605.74,295.91,340.75,-44.84,30.13,3.18,6.76,Neutral,18.428263604319504,21.220745575248795,292.6614578182178,337.0091979032736,Expansionary,266.319
1972,2300.69,415.65,501.58,-85.93,30.21,0.55,10.52,Neutral,18.066319234664384,21.801285701246147,402.7500098180307,486.0131118116874,Contractionary,374.085
1973,3337.43,610.83,679.47,-68.64,30.25,4.69,5.92,Neutral,18.30240634260494,20.35907869228718,566.0059875666815,629.6090374931373,Neutral,549.7470000000001
1974,3556.42,617.6,629.78,-12.18,30.26,1.0,4.09,Neutral,17.365777945237067,17.70825717997312,552.2331279363746,563.1239949996275,Expansionary,555.84
1975,2539.66,447.93,555.3,-107.37,30.34,0.0,5.31,Expansionary,17.637400281927505,21.865131553042534,382.10362996530364,473.69487580589174,Contractionary,403.137
1976,3909.01,677.33,727.0,-49.66,30.37,5.38,5.07,Neutral,17.32740514861819,18.598059355182002,562.0542165478693,603.2708065939806,Expansionary,609.5970000000001
1977,3763.94,663.98,760.46,-96.48,30.42,3.63,6.96,Neutral,17.640557500916593,20.203828966455365,532.0357981608137,609.3435691878858,Contractionary,597.582
1978,4193.67,720.76,856.38,-135.62,30.48,4.84,2.92,Expansionary,17.186855427346455,20.420777028235413,568.8855785660004,675.9285084804254,Neutral,648.684
1979,4856.24,790.29,911.39,-121.1,30.53,3.64,6.13,Expansionary,16.27370146450752,18.767400293230978,605.8908353266798,698.7344498960923,Neutral,711.261
1980,5128.63,932.25,1021.68,-89.43,30.57,4.71,6.31,Neutral,18.177369004977937,19.921109536074937,714.7271650068928,783.2903726942797,Neutral,839.025
1981,6189.4,1089.22,1261.6,-172.38,30.62,1.7,6.46,Expansionary,17.598151678676448,20.38323585484861,800.7970811394162,927.5312586671997,Contractionary,980.298
1982,6248.44,1022.86,1222.49,-199.63,30.69,0.93,4.81,Expansionary,16.369845913540022,19.564723354949397,720.9366835067532,861.6407780343064,Neutral,920.5740000000001
1983,6334.42,1169.51,1099.08,70.43,30.66,4.36,5.52,Contractionary,18.462779544141373,17.350917684649897,783.5543549812343,736.3672995295252,Expansionary,1052.559
1984,6901.18,1179.6,1342.1,-162.5,30.71,1.39,3.15,Expansionary,17.092729069521443,19.44739885063134,770.8881245964756,877.084564276814,Contractionary,1061.6399999999999
1985,7251.74,1309.08,1522.11,-213.03,30.77,1.62,5.01,Expansionary,18.051943395654007,20.989583189689647,836.5983255757573,972.740151359822,Neutral,1178.172
1986,8237.61,1542.83,1479.32,63.51,30.76,2.09,4.91,Contractionary,18.729097395968004,17.958121348303692,933.0763263868511,894.6666004359499,Expansionary,1388.547
1987,7793.65,1412.91,1463.3,-50.39,30.77,3.03,6.83,Neutral,18.128989626170025,18.77554162683723,796.1455377994665,824.539259727767,Contractionary,1271.6190000000001
1988,8458.42,1618.89,1551.89,67.0,30.75,2.29,3.69,Contractionary,19.13939009886007,18.347279988461203,871.6779780399262,835.602380236076,Expansionary,1457.0010000000002
1989,8280.5,1388.24,1802.99,-414.75,30.85,0.25,7.56,Expansionary,16.765171185314898,21.773926695247873,715.0242840020817,928.6446391206947,Contractionary,1249.416
